text,rating
Barang sesuai pesanan dan cepat sampai,5
Barang bagus harga murah,5
Paket rapi...mantap....cepat....sampe ke tujuan,5
ya saya puas dgn barangnya,5
Responya luar biasa b mantap,5
"seller top, pengiriman cepat barang oke",5
pengiriman cepat seller top,5
Produk sesuai dengan spec di web dan respon seller sangat cepat. Thankyou.,5
"Respon super cepat, pengiriman cepat, Barang bagus sesuai deskripsi penjual..thx gan",5
"Barang mantap, pelayanan cepat",5
"Sippp,sesuai pic,dscrbs..cuma blum dicoba😁",5
Sayang produk yg datang di paking kurang rapi sehingga kebuka n isinya terhambur.  Saran klo mengirimkan isi paku tembak seperti ini di beri lakban dulu dikemasan pakunya baru di gabung kan dgn yg lain supaya tidak tercecer. Untuk kualitas barang seperinya bagus walau saya belum coba.  Terima kasih,3
Barang sesuai deskripsi..respon dan proses cepat. Terima kasih,5
Mantaaaaaaaappp..........,5
superrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,5
josss pokok e bisa buat langganan,5
"berfungsi dengan baik, normal",5
"Cara Memberikan Nilai Reputasi ke Penjual

Untuk dapat memberikan nilai reputasi ke penjual, Anda dapat melakukan langkah-langkah berikut ini:",5
Barang sesuai dengan deskripsi. Pengiriman cepat gak pake lama. Barang bagus. Mantap dahh pokoknya. Thanks gan,5
Sesuai dengan deskripsi,5
"bagus,  packing aman pake bublewrap.  ndak ada yang patah",5
Barang sesuai deskripsi,5
cukuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuupp,5
barang sudah sampai sesuai pesanan .,5
Thanksssssssssssssss,3
Barang bagus sesuai info fast response,4
"barang ok....
pengriman cepet....",5
barang sudah sy terima gan thanks,4
paket telah diterima baik.. Terima kasih,5
"Barang bagus, ga kecewa, tapi kurang banyak, nanti order lagi dah",5
"barang sudah di terima, terima kasih ....",4
Barang sudah diterima .........,4
sip. udah sampe beberapa menit yg lalu. oke sesuai pesanan dan gambar. trimakasih kerjasamanya.,5
sesuai deskripsi barangnya,5
Produk sesuai pesanan tp blm dcoba,4
Proses cepat dan mantap,5
Bagus sesuai dgn deskripsi thnks.,5
Produk sesuai gambar dan deskripsi. Produknya bagus dan harganya jg bagus. Recommended produk,5
seller is good. produknya mantap. 5 stars ya,5
"Produk bagus, sesuai deskripsi, packing rapi, pengiriman cepat, hanya kurirnya yg agak telat.. thanks..",5
"Mahmurah mantap... Barang sdh sampe,, thanks sukses selalu",5
Produk diterima utuh tersegel.. semoga awet,5
"Sesuai order, pengiriman cepat, respon cepat",4
Respon dan proses dr penjual cepat. Barang sdh diterima stlh 2 hari. Kualitas barang bagus. Recommended seller. Thanks,5
Mantap. Sesuai deskripsi. Trimakasih semoga barokah jualannya.,5
"Makasih gan, barang sesuai",5
Pengiriman cepat. Fast respon. Barang sesuai. Trims,5
"Produknya bagus, berkualitas, dan berfungsi dg baik",5
brg diterima dg baik&amp; lengkap,5
Great Product &amp; Great Seller,5
"Steplesnya sedikit lebih kecil dari staples khusu mollar, saat ditembakan keluar 2 dan jadi menumpuk yang keluar. Rekomennya sih mending cari isi yang khusus mollar jk staplesnya merk mollar",4
Sesuai dengan pesanan..............,4
Produk berfungsi dgn baik,5
"produk sesuai dengan deskripsi, tapi belum dicoba",5
Barang sesuai diskripsi dan layanan cepat,5
"Sudah diterima, terima kasih",5
Pesanan gx sesuai dgn yg d gambar,2
Sudah diterima dengan baik dan bisa di pakai.,5
Packing rapi dan respon cepat... recommended..!,4
Barang sudah diterima dg baik. Thx,4
"Barang bagus, kualitas sesuai harga",3
Terima kasih..........,5
"Pengiriman sangat cepat, Barang sesuai iklan, berfungsi baik, 👍👍👍",5
kwalitas bagus. sesuai dengan yang ditawarkan. respons cepat,5
Sesuai yg diharapkan. Terimakasih.,5
"Barangnya bagus, pelayanan toko ini semuanya sangat memuaskan...recomend.",5
suuuuuuuuuuuuuuuuuuuuuudaaaaaaaah Diiiiteeeerimaaaaa,4
Pengiriman dan respon super cepat. Tpi barang tidak sesuai gambar dan tidak kuat untuk menembus jok motor.,2
"Produk sesuai deskripsi, packing rapi.. rekomended..!",5
Ok lah.. sesuai denggan harga.,3
bukan merk kenmaster ternyata,4
Terimakasih barang sudah sampai,5
"Bagus..
Pengiriman cukup cepat",5
Siiiiiiiippppppppp...,5
Barang udh sampe...mksh....,4
Terimakasih barangnya udah sampai.,5
Fast respon dan terbaiks,5
makasih barang sudah sampai,5
Bagus.......top pengiriman cepat,4
thanksss........................,5
Merk beda tapi gpp yg penting ukrn sama,4
Lihat bintangnya aja dahhhhh,5
"bagus ,....................    ........",5
"Barang sudah diterima. Ukuran sesuai deskripsi. Hanya mereknya beda dengan yang dikirim, tetapi tidak masalah yang penting berfungsi dengan baik.",5
Barang sudah sampai....tks..,5
"Bagus,,,,,, terimakasih .......",5
"barang sudah samapai gan, dan bagus",5
"mantafff, sangat-sangat sesuai,,,",5
Barang sudah diterima dengan baik...,5
"Pengiriman cepat, Kemasan bagus",5
SESUAI PERMINTAAN.. FAST RESPON,5
Matab...good...sesuai permintaan...,5
barang yg dikirim tidak sesuai pesanan,1
barang lumayan kuat.... good,5
sudah sampai murah meriah,5
"sudah di terima bos
packing bagus, aman",5
"makasih, barang sesuai gambar",5
langsung dipakai. mantap. thanks. maaf baru kasi testi,5
"Harganya murah tp isinya lumayan banyak n kuat. Pesan kmrn hr ini nyampe. thanks Toko besi timur jaya, Tokopedia n wahana",5
