slang,formal
ga,tidak
gak,tidak
gk,tidak
ngga,tidak
nggak,tidak
g,tidak
tdk,tidak
blm,belum
belom,belum
sdh,sudah
udah,sudah
dah,sudah
uda,sudah
smp,sampai
sampe,sampai
smpe,sampai
nyampe,sampai
dgn,dengan
dg,dengan
jg,juga
utk,untuk
tp,tapi
tpi,tapi
kalo,kalau
klo,kalau
krn,karena
karna,karena
d,di
n,dan
deh,deh
aja,saja
sih,sih
biar,biar
jd,jadi
lg,lagi
cuman,cuma
cuma,cuma
nih,nih
yah,ya
yaa,ya
yaaa,ya
yaaaa,ya
gpp,tidak apa-apa
brg,barang
brgnya,barang
brng,barang
barangnya,barang
produknya,produk
product,produk
item,barang
paking,packing
packaging,packing
packingnya,packing
pakingnya,packing
kemasan,packing
kemasannya,packing
rapih,rapi
seler,seller
sellernya,seller
tokonya,toko
pelapak,seller
penjualnya,seller
pesen,pesan
pesenan,pesanan
orderan,pesanan
dipesan,pesan
order,pesan
rekomen,recommended
recomended,recommended
recomend,recommended
rekomended,recommended
ori,original
bos,bos
boss,bos
agan,agan
kurir,kurir
paketnya,paket
cepet,cepat
cpt,cepat
fast,cepat
baguss,bagus
bagusss,bagus
bgs,bagus
bgus,bagus
mantab,mantap
mantapp,mantap
mantappp,mantap
mantul,mantap
mantep,mantap
top,mantap
ok,oke
oke,oke
sip,oke
sipp,oke
murah,murah
agak,agak
lama,lama
bgt,banget
kurang,kurang
keren,keren
tebal,tebal
mulus,mulus
dikit,sedikit
gampang,mudah
trims,terima kasih
tq,terima kasih
tks,terima kasih
trimakasih,terima kasih
trima,terima kasih
mksh,terima kasih
thank,terima kasih
thankyou,terima kasih
makasih,terima kasih
thanks,terima kasih
terimakasih,terima kasih
thx,terima kasih
